file,month,year,size
1047390562.txt,Mar,2003,3.818
1047474776.txt,Mar,2003,12.51
1047478548.txt,Mar,2003,12.135
1047484387.txt,Mar,2003,17.604
1047485263.txt,Mar,2003,19.486
1047489122.txt,Mar,2003,4.629
1047503776.txt,Mar,2003,19.81
1048106475.txt,Mar,2003,6.846
1048799107.txt,Mar,2003,14.737
1049745840.txt,Apr,2003,3.11
1051156418.txt,Apr,2003,6.122
1051190249.txt,Apr,2003,3.906
1051202354.txt,Apr,2003,16.014
1051230500.txt,Apr,2003,8.474
1051638938.txt,Apr,2003,7.473
1051915601.txt,May,2003,2.827
1052774789.txt,May,2003,7.149
1053457075.txt,May,2003,6.629
1053461261.txt,May,2003,13.866
1053610494.txt,May,2003,2.163
1053616711.txt,May,2003,4.468
1054576147.txt,Jun,2003,9.707
1054666269.txt,Jun,2003,2.868
1054736277.txt,Jun,2003,16.282
1054748574.txt,Jun,2003,2.374
1054756929.txt,Jun,2003,21.537
1054757526.txt,Jun,2003,19.923
1055004012.txt,Jun,2003,4.121
1055258297.txt,Jun,2003,5.277
1055269567.txt,Jun,2003,5.828
1055273033.txt,Jun,2003,2.717
1055512559.txt,Jun,2003,3.874
1056133160.txt,Jun,2003,3.387
1056440026.txt,Jun,2003,8.206
1056477710.txt,Jun,2003,3.593
1056477985.txt,Jun,2003,4.754
1056478635.txt,Jun,2003,2.759
1056654269.txt,Jun,2003,4.626
1056986548.txt,Jun,2003,4.905
1057011929.txt,Jun,2003,2.942
1057166231.txt,Jul,2003,3.881
1057368583.txt,Jul,2003,6.968
1057586225.txt,Jul,2003,4.234
1057941657.txt,Jul,2003,7.731
1057944829.txt,Jun,2003,21.691
1058275977.txt,Jul,2003,4.755
1058898765.txt,Jul,2003,1.613
1058906971.txt,Jul,2003,3.144
1059005592.txt,Jul,2003,6.751
1059664704.txt,Jul,2003,8.627
1059674663.txt,Jul,2003,2.184
1059762275.txt,Aug,2003,1.687
1060002347.txt,Aug,2003,12.307
1060021835.txt,Aug,2003,3.759
1060196763.txt,Aug,2003,2.834
1061298033.txt,Aug,2003,9.732
1061300885.txt,Aug,2003,6.106
1061625894.txt,Aug,2003,13.056
1062189235.txt,Aug,2003,1.653
1062527448.txt,Sep,2003,6.509
1062592331.txt,Sep,2003,4.83
1062618881.txt,Mar,2003,24.233
1062783293.txt,Sep,2003,3.673
1062784268.txt,Sep,2003,5.844
1063657189.txt,Sep,2003,1.735
1064946297.txt,Sep,2003,2.575
1065125462.txt,Oct,2003,4.058
1065128595.txt,Oct,2003,9.656
1065189366.txt,Oct,2003,5.093
1065206624.txt,Oct,2003,7.625
1065636937.txt,Oct,2003,15.055
1065723391.txt,Oct,2003,8.257
1065785323.txt,Oct,2003,12.12
1066073000.txt,Oct,2003,4.074
1066075033.txt,Oct,2003,4.721
1066077412.txt,Oct,2003,5.249
1066149334.txt,Oct,2003,9.113
1066166844.txt,Oct,2003,5.134
1066337021.txt,Oct,2003,27.071
1067005233.txt,Oct,2002,6.614
1067194064.txt,Oct,2003,3.504
1067450707.txt,Oct,2003,2.491
1067522573.txt,Oct,2003,7.877
1067532918.txt,Oct,2003,1.556
1067542015.txt,Oct,2003,6.875
1067596623.txt,Oct,2003,14.29
1068239573.txt,Nov,2003,9.021
1068652882.txt,Nov,2003,7.74
1069630979.txt,Nov,2003,5.535
1073489714.txt,Jan,2004,25.308
1073921187.txt,Jan,2004,0.893
1074277559.txt,Jan,2004,8.354
1074344124.txt,Jan,2004,5.944
1074609944.txt,Jan,2004,3.797
1074612429.txt,Jan,2004,5.844
1075297872.txt,Jan,2004,1.26
1075393544.txt,Jan,2004,2.135
1075403821.txt,Jan,2004,2.096
1075750656.txt,Feb,2004,3.895
1075768111.txt,Feb,2004,2.272
1075836638.txt,Feb,2004,3.917
1075931629.txt,Feb,2004,1.645
1076083097.txt,Feb,2004,4.65
1076336623.txt,Feb,2004,9.366
1076359809.txt,Feb,2004,3.971
1077200902.txt,Feb,2004,2.415
1077829152.txt,Feb,2004,1.535
1078236401.txt,Feb,2004,8.754
1079108576.txt,Mar,2004,11.814
1079384474.txt,Mar,2004,3.666
1080257046.txt,Mar,2004,3.181
1080742144.txt,Mar,2004,2.738
1083962092.txt,May,2004,1.629
1083962601.txt,May,2004,1.465
1084017554.txt,May,2004,8.117
1084625760.txt,May,2004,1.403
1086722406.txt,Jun,2004,4.016
1086904814.txt,Jun,2004,31.037
1087504782.txt,Jun,2004,1.694
1087589697.txt,Jun,2004,4.631
1087820257.txt,Jun,2004,34.147
1088632271.txt,Jun,2004,31.155
1088690856.txt,Jun,2004,34.426
1089318616.txt,Jul,2004,2.616
1090436791.txt,Jul,2004,0.677
1090610951.txt,Jul,2004,11.281
1091798809.txt,Aug,2004,7.817
1092167224.txt,Aug,2004,18.016
1092418712.txt,May,2004,7.468
1092433030.txt,Aug,2004,5.276
1092581797.txt,Aug,2004,8.539
1093294138.txt,Oct,2000,4.488
1093794363.txt,Aug,2004,7.908
1094483447.txt,Sep,2004,5.654
1094495798.txt,Sep,2004,0.774
1094752345.txt,Sep,2004,6.797
1096382684.txt,Sep,2004,1.294
1096645745.txt,Oct,2004,3.68
1097078296.txt,Oct,2004,3.802
1097159316.txt,Oct,2004,5.749
1097540855.txt,Oct,2004,5.32
1097785771.txt,Oct,2004,3.696
1098294574.txt,Oct,2004,3.675
1098388401.txt,Oct,2004,0.67
1098472400.txt,Oct,2004,4.618
1101133749.txt,Nov,2004,10.626
1101243716.txt,Nov,2004,1.998
1101850440.txt,Nov,2004,3.12
1101999700.txt,Dec,2004,8.443
1102524151.txt,Dec,2004,4.445
1102687002.txt,Dec,2004,4.438
1102948164.txt,Dec,2004,6.231
1102953345.txt,Dec,2004,2.058
1102956436.txt,Dec,2004,2.387
1102956446.txt,Dec,2004,1.218
1102956796.txt,Dec,2004,1.504
1102957001.txt,Dec,2004,1.073
1102957016.txt,Dec,2004,1.565
1103236623.txt,Dec,2004,7.134
1103583356.txt,Dec,2004,13.427
1103647149.txt,Dec,2004,2.589
1103828684.txt,Dec,2004,5.325
1104855751.txt,Dec,2004,11.706
1104893567.txt,Jan,2005,11.901
1104941753.txt,Jan,2005,2.205
1104945887.txt,Jan,2005,4.248
1105019698.txt,Jan,2005,15.754
1105024270.txt,Jan,2005,6.255
1105042411.txt,Jan,2005,4.198
1105282939.txt,Jan,2005,1.493
1105386027.txt,Jan,2005,6.165
1105395606.txt,Jan,2005,4.772
1105462633.txt,Jan,2005,3.13
1105543270.txt,Jan,2005,2.152
1105556495.txt,Jan,2005,5.168
1105566936.txt,Jan,2005,8.696
1105588673.txt,Jan,2005,2.154
1105588681.txt,Jan,2005,2.867
1105627987.txt,Jan,2005,2.763
1105653626.txt,Jan,2005,10.744
1105661016.txt,Jan,2005,2.42
1105661725.txt,Jan,2005,1.788
1105663624.txt,Jan,2005,0.954
1105667593.txt,Jan,2005,3.304
1105670738.txt,Jan,2005,1.608
1105723247.txt,Jan,2005,4.663
1105730627.txt,Jan,2005,12.052
1105978592.txt,Jan,2005,0.858
1106322460.txt,Jan,2005,8.857
1106338806.txt,Jan,2005,7.066
1106346062.txt,Jan,2005,8.812
1106934832.txt,Jan,2005,18.208
1106946949.txt,Jan,2005,6.084
1107191864.txt,Jan,2005,4.515
1107454306.txt,Feb,2005,5.465
1107555812.txt,Feb,2005,9.882
1107899057.txt,Feb,2005,12.091
1108248246.txt,Feb,2005,6.789
1108399027.txt,Feb,2005,3.153
1108594561.txt,Feb,2005,4.454
1109014030.txt,Feb,2005,3.896
1109018144.txt,Feb,2005,3.333
1109021312.txt,Feb,2005,46.786
1109087609.txt,Feb,2005,0.636
1109267110.txt,Feb,2005,10.777
1109684442.txt,Feb,2005,7.366
1110150877.txt,Mar,2005,12.243
1110909006.txt,Mar,2005,3.601
1111085657.txt,Mar,2005,7.457
1111417712.txt,Mar,2005,3.267
1112622624.txt,Apr,2005,2.799
1112670527.txt,Apr,2005,5.07
1113941558.txt,Apr,2005,9.091
1114008578.txt,Apr,2005,8.371
1114025310.txt,Apr,2005,24.892
1114040791.txt,Apr,2005,11.393
1114088225.txt,Apr,2005,3.532
1114113870.txt,Apr,2005,1.455
1114130226.txt,Apr,2005,5.007
1114607213.txt,Apr,2005,9.868
1114785020.txt,Apr,2005,1.199
1115294935.txt,May,2005,4.616
1115297153.txt,May,2005,3.612
1115843111.txt,May,2005,7.337
1115887684.txt,May,2005,10.542
1116017259.txt,May,2005,1.212
1116363805.txt,May,2005,11.329
1116365074.txt,May,2005,11.61
1116426671.txt,May,2005,0.614
1116440198.txt,May,2005,0.982
1116611126.txt,May,2005,1.478
1116646247.txt,May,2005,3.286
1116902771.txt,May,2005,2.188
1117120511.txt,May,2005,6.571
1117134760.txt,May,2005,5.533
1117757977.txt,Jun,2005,4.477
1118866416.txt,Jun,2005,2.393
1118949061.txt,Jun,2005,1.301
1119534778.txt,Jun,2005,5.425
1119628345.txt,Jun,2005,6.149
1119901360.txt,Jun,2005,5.648
1119924849.txt,Jun,2005,2.569
1119957715.txt,Jun,2005,10.501
1119967865.txt,Jun,2005,7.249
1120014836.txt,Jun,2005,8.555
1120017435.txt,Jun,2005,3.208
1120236419.txt,Jul,2005,2.299
1120528403.txt,Jul,2005,4.103
1120593115.txt,Jul,2005,13.38
1120676865.txt,Jul,2005,7.488
1121103374.txt,Jul,2005,1.082
1121294040.txt,Jul,2005,1.972
1121392136.txt,Jul,2005,6.712
1121439991.txt,Jul,2005,2.788
1121686753.txt,Jul,2005,4.374
1121721126.txt,Jul,2005,3.788
1121869083.txt,Jul,2005,12.621
1121871795.txt,Jul,2005,31.822
1121875880.txt,Jul,2005,4.686
1121876302.txt,Jul,2005,4.841
1121877545.txt,Jul,2005,2.142
1121883804.txt,Jul,2005,5.953
1121893120.txt,Jul,2005,4.505
1121950297.txt,Jul,2005,37.685
1121950401.txt,Jul,2005,6.334
1121964854.txt,Jul,2005,8.988
1121974981.txt,Jul,2005,41.968
1121976478.txt,Jul,2005,7.124
1122052662.txt,Jul,2005,2.358
1122126027.txt,Jul,2005,1.624
1122300990.txt,Jul,2005,0.835
1122394173.txt,Jul,2005,2.983
1122422429.txt,Jul,2005,1.765
1122557838.txt,Jul,2005,14.941
1122601784.txt,Jul,2005,7.543
1122669035.txt,Jul,2005,5.054
1123163394.txt,Aug,2005,10.157
1123268256.txt,Aug,2005,2.721
1123513957.txt,Aug,2005,4.572
1123514677.txt,Aug,2005,10.031
1123529413.txt,Aug,2005,3.838
1123611283.txt,Aug,2005,1.563
1123612499.txt,Aug,2005,1.019
1123622471.txt,Aug,2005,4.416
1123685358.txt,Aug,2005,5.757
1123708417.txt,Aug,2005,14.719
1123860080.txt,Aug,2005,5.303
1123881502.txt,Aug,2005,9.229
1124742148.txt,Aug,2005,1.252
1124994521.txt,Aug,2005,2.938
1125067952.txt,Aug,2005,4.658
1125085162.txt,Aug,2005,2.489
1127491287.txt,Sep,2005,0.677
1127614205.txt,Sep,2005,11.93
1128000000.txt,Sep,2005,10.715
1132094873.txt,Nov,2005,6.604
1133360497.txt,Nov,2005,1.856
1133366680.txt,Nov,2005,14.316
1133532909.txt,Dec,2005,1.046
1134418588.txt,Dec,2005,1.02
1134497252.txt,Dec,2005,4.255
1134526470.txt,Dec,2005,5.118
1134572247.txt,Dec,2005,0.824
1134931991.txt,Dec,2005,3.308
1135033853.txt,Dec,2005,1.617
1135045957.txt,Dec,2005,2.608
1135197791.txt,Dec,2005,9.267
1136298918.txt,Jan,2006,2.784
1136308095.txt,Jan,2006,4.943
1136413942.txt,Jan,2006,47.68
1136918726.txt,Jan,2006,5.617
1137184681.txt,Jan,2006,2.808
1137686657.txt,Jan,2006,35.327
1138042050.txt,Jan,2006,7.474
1138398400.txt,Jan,2006,425.315
1138734209.txt,Jan,2006,2.042
1138995069.txt,Feb,2006,3.279
1139006752.txt,Feb,2006,7.265
1139242164.txt,Feb,2006,2.875
1139323214.txt,Feb,2006,2.747
1139331621.txt,Feb,2006,0.936
1139357516.txt,Feb,2006,4.405
1139413326.txt,Feb,2006,4.47
1139441665.txt,Feb,2006,23.109
1139504822.txt,Feb,2006,5.316
1139515011.txt,Feb,2006,1.326
1139521913.txt,Feb,2006,1.704
1139591144.txt,Feb,2006,6.283
1139592077.txt,Feb,2006,4.303
1139594390.txt,Feb,2006,3.465
1139607804.txt,Feb,2006,8.516
1139627770.txt,Feb,2006,4.78
1139835663.txt,Feb,2006,8.49
1139845689.txt,Feb,2006,3.649
1139847614.txt,Feb,2006,14.437
1139850906.txt,Feb,2006,10.381
1139923663.txt,Feb,2006,3.609
1139932579.txt,Feb,2006,5.947
1139942831.txt,Feb,2006,2.128
1140009927.txt,Feb,2006,20.269
1140021977.txt,Feb,2006,3.636
1140039406.txt,Feb,2006,5.562
1140067691.txt,Feb,2006,3.514
1140130198.txt,Feb,2006,6.555
1140189328.txt,Feb,2006,1.547
1140209561.txt,Feb,2006,2.646
1140213644.txt,Feb,2006,3.989
1140231162.txt,Feb,2006,2.352
1140453339.txt,Feb,2006,1.142
1140554230.txt,Feb,2006,19.058
1140567354.txt,Feb,2006,1.022
1140568004.txt,Feb,2006,1.697
1140616435.txt,Feb,2006,2.392
1140707670.txt,Feb,2006,8.731
1140838402.txt,Feb,2006,1.147
1141068509.txt,Feb,2006,8.853
1141072471.txt,Feb,2006,3.65
1141143688.txt,Feb,2006,4.928
1141145428.txt,Feb,2006,6.046
1141151539.txt,Feb,2006,3.944
1141164645.txt,Feb,2006,3.595
1141169545.txt,Feb,2006,2.305
1141180962.txt,Feb,2006,2.856
1141187005.txt,Feb,2006,1.551
1141226255.txt,Mar,2006,2.696
1141246541.txt,Mar,2006,2.134
1141250377.txt,Mar,2006,2.311
1141267802.txt,Mar,2006,2.152
1141393414.txt,Mar,2006,5.664
1141398437.txt,Mar,2006,3.833
1141737742.txt,Mar,2006,19.728
1141750932.txt,Mar,2006,2.988
1141849134.txt,Mar,2006,2.387
1141930111.txt,Mar,2006,7.588
1142108839.txt,Mar,2006,8.336
1142285374.txt,Mar,2006,1.974
1142314357.txt,Mar,2006,4.734
1142389768.txt,Mar,2006,13.153
1142457385.txt,Mar,2006,5.425
1142469228.txt,Mar,2006,15.377
1143137864.txt,Mar,2006,6.547
1143227779.txt,Mar,2006,6.174
1143661010.txt,Mar,2006,11.636
1143753480.txt,Mar,2006,2.01
1143819006.txt,Mar,2006,4.515
1144427398.txt,Apr,2006,2.415
1145388731.txt,Apr,2006,5.179
1146062963.txt,Apr,2006,4.131
1146252894.txt,Apr,2006,7.231
1146713460.txt,May,2006,1.035
1147435800.txt,May,2006,5.059
1147982305.txt,May,2006,3.222
1148266730.txt,May,2006,5.343
1148299124.txt,May,2006,5.802
1148307524.txt,May,2006,7.838
1148339153.txt,May,2006,8.846
1148577381.txt,May,2006,4.23
1148592899.txt,May,2006,3.599
1150923423.txt,Jun,2006,4.161
1151094928.txt,Jun,2006,5.16
1151577820.txt,Jun,2006,8.992
1151689605.txt,Jun,2006,4.13
1152563768.txt,Apr,2006,8.965
1152909980.txt,Jul,2006,3.539
1152912026.txt,Jul,2006,2.481
1152974217.txt,Jul,2006,7.893
1153139501.txt,Jul,2006,4.307
1153163328.txt,Jul,2006,4.879
1153167959.txt,Jul,2006,4.205
1153172761.txt,Jul,2006,4.56
1153186426.txt,Jul,2006,5.738
1153232546.txt,Jul,2006,3.045
1153232841.txt,Jul,2006,2.296
1153233036.txt,Jul,2006,11.946
1153254016.txt,Jul,2006,17.702
1153273819.txt,Jul,2006,5.263
1153314389.txt,Jul,2006,14.567
1153339440.txt,Jul,2006,1.342
1153406000.txt,Jul,2006,5.417
1153424011.txt,Jun,2006,3.626
1153470204.txt,Jul,2006,4.946
1153482869.txt,Jul,2006,12.115
1153520622.txt,Jul,2006,1.727
1153761297.txt,Jul,2006,4.473
1153762381.txt,Jul,2006,2.083
1153771098.txt,Jul,2006,10.004
1153772456.txt,Jul,2006,1.433
1153866449.txt,Jul,2006,1.711
1154090231.txt,Jul,2006,1.262
1154353922.txt,Jul,2006,11.672
1154370684.txt,Jul,2006,1.317
1154461714.txt,Aug,2006,2.824
1154484340.txt,Aug,2006,3
1154697504.txt,Aug,2006,94.948
1155150358.txt,Aug,2006,5.966
1155333435.txt,Aug,2006,2.589
1155346370.txt,Aug,2006,3.805
1155402164.txt,Aug,2006,15.828
1155497558.txt,Aug,2006,1.859
1155832288.txt,Aug,2006,9.147
1156334874.txt,Aug,2006,0.984
1156988605.txt,Aug,2006,5.162
1157074096.txt,Aug,2006,2.178
1157138720.txt,Sep,2006,6.543
1157473748.txt,Sep,2006,5.063
1157546057.txt,Sep,2006,6.216
